study_word,test_words,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,,,,,,,,,
cushion,,,,,,,,,,,,,,,
tiger,,,,,,,,,,,,,,,
book,,,,,,,,,,,,,,,
piano,,,,,,,,,,,,,,,
tiger,,,,,,,,,,,,,,,
piano,,,,,,,,,,,,,,,
tiger,,,,,,,,,,,,,,,
vase,,,,,,,,,,,,,,,
book,,,,,,,,,,,,,,,
piano,,,,,,,,,,,,,,,
cushion,,,,,,,,,,,,,,,
vase,,,,,,,,,,,,,,,
vase,,,,,,,,,,,,,,,
book,,,,,,,,,,,,,,,
cushion,,,,,,,,,,,,,,,
,c_m_r_,,,,,0,0,0,6,,,,,, cm
,c_sh__n,,,,,0,1,1,3,,,,,,"cushion
"
,_p__ad_,,,,,0,2,2,7,,,,,, 
,v_ _e,,,,,0,3,3,0,,,,,,vase
,_ea_o_,,,,,0,4,4,5,,,,,,reason
,o_an_e,,,,,0,5,5,9,,,,,,
,p_a_o,,,,,0,6,6,4,,,,,,piano
,_oo_,,,,,0,7,7,2,,,,,,book
,t_g_r,,,,,0,8,8,1,,,,,,tiger
,_o_s_,,,,,0,9,9,8,,,,,,boss
